"vocabSize","maxN","trainingDataSize","inTop5P","predictionP","lookupTime","modelMB","EMR_minutes"
1000,3,0.5,0.219201154956689,0.107916265640038,0.00881604908565929,2.382,8
1000,3,0.75,0.219923002887392,0.107916265640038,0.0105794032723772,3.082,11
1000,3,1,0.222690086621752,0.109841193455245,0.0125117901828681,3.682,12
1000,4,0.5,0.223772858517806,0.114773820981713,0.0279444177093359,6.682,13
1000,4,0.75,0.22497593840231,0.114292589027911,0.0374544032723773,9.382,18
1000,4,1,0.228825794032724,0.11657844080847,0.0423699470644851,11.982,20
1000,5,0.5,0.223652550529355,0.115856592877767,0.0415843358999038,10.182,19
1000,5,0.75,0.224855630413859,0.11393166506256,0.0601684311838306,14.982,26
1000,5,1,0.229186717998075,0.115856592877767,0.066394489894129,19.882,30
1500,3,0.5,0.234480269489894,0.11669874879692,0.0105554619826757,3.024,9
1500,3,0.75,0.235923965351299,0.116458132820019,0.0137283445620789,3.924,11
1500,3,1,0.238330125120308,0.118262752646776,0.0163075072184793,4.724,12
1500,4,0.5,0.239172281039461,0.123917228103946,0.0309403272377286,7.524,14
1500,4,0.75,0.241097208854668,0.122593840230991,0.0436662656400385,10.724,18
1500,4,1,0.244706448508181,0.125601539942252,0.053923604427334,13.824,21
1500,5,0.5,0.239172281039461,0.123917228103946,0.0478103946102021,10.624,20
1500,5,0.75,0.241217516843118,0.122473532242541,0.0664833974975938,15.824,26
1500,5,1,0.244947064485082,0.124759384023099,0.0835671318575554,21.124,31
500,3,0.5,0.235081809432146,0.117661212704524,0.0114511549566891,3.024,9
500,3,0.75,0.195380173243503,0.096126082771896,0.0072941530317613,1.941,9
500,3,1,0.197545717035611,0.0962463907603465,0.00733999037536092,2.241,11
500,4,0.5,0.239533205004812,0.123796920115496,0.0323046198267565,7.524,15
500,4,0.75,0.199350336862368,0.101660250240616,0.0282092155919153,7.041,15
500,4,1,0.201395572666025,0.101660250240616,0.0309331087584216,8.741,18
500,5,0.5,0.239533205004812,0.124157844080847,0.0462438642925891,10.624,21
500,5,0.75,0.199230028873917,0.101539942252166,0.0480317613089509,12.941,22
500,5,1,0.201876804619827,0.101058710298364,0.05829114533205,16.741,27
